s	regi	reset	JMP	x	x	x	x
s	pc	count	JMP	x	x	x	x
p	pc	count	JEQ	x	x	x	x
p	pc	output	JEQ	x	x	x	1
s	mem	loadmar	JEQ	x	x	x	1
p	pc	load	JEQ	x	x	x	1
s	mem	output	JEQ	x	x	x	1
s	regi	reset	JEQ	x	x	x	1
s	pc	count	JEQ	x	x	x	1
p	regi	reset	JEQ	x	x	x	0
s	pc	count	JEQ	x	x	x	0
p	pc	count	JNE	x	x	x	x
p	pc	output	JNE	x	x	x	0
s	mem	loadmar	JNE	x	x	x	0
p	pc	load	JNE	x	x	x	0
s	mem	output	JNE	x	x	x	0
s	regi	reset	JNE	x	x	x	0
s	pc	count	JNE	x	x	x	0
p	regi	reset	JNE	x	x	x	1
s	pc	count	JNE	x	x	x	1
p	alu	cmp	CMP	x	x	x	x
s	regi	reset	CMP	x	x	x	x
s	pc	count	CMP	x	x	x	x
p	regsta	reset	RST	x	x	x	x
s	regi	reset	RST	x	x	x	x
s	pc	count	RST	x	x	x	x
p	pc	count	JC	x	x	x	x
p	pc	output	JC	x	x	1	x
s	mem	loadmar	JC	x	x	1	x
p	pc	load	JC	x	x	1	x
s	mem	output	JC	x	x	1	x
s	regi	reset	JC	x	x	1	x
s	pc	count	JC	x	x	1	x
p	regi	reset	JC	x	x	0	x
s	pc	count	JC	x	x	0	x
p	pc	count	LPA	x	x	x	x
p	pc	output	LPA	x	x	x	x
s	mem	loadmar	LPA	x	x	x	x
p	mem	output	LPA	x	x	x	x
s	regs	load	LPA	x	x	x	x
p	regs	output	LPA	x	x	x	x
s	mem	loadmar	LPA	x	x	x	x
p	rega	load	LPA	x	x	x	x
s	mem	output	LPA	x	x	x	x
s	regi	reset	LPA	x	x	x	x
s	pc	count	LPA	x	x	x	x
p	pc	count	LPB	x	x	x	x
p	pc	output	LPB	x	x	x	x
s	mem	loadmar	LPB	x	x	x	x
p	mem	output	LPB	x	x	x	x
s	regs	load	LPB	x	x	x	x
p	regs	output	LPB	x	x	x	x
s	mem	loadmar	LPB	x	x	x	x
p	regb	load	LPB	x	x	x	x
s	mem	output	LPB	x	x	x	x
s	regi	reset	LPB	x	x	x	x
s	pc	count	LPB	x	x	x	x
p	clk	disable	HLT	x	x	x	x
p	pc	count	LAI	x	x	x	x
p	pc	output	LAI	x	x	x	x
s	mem	loadmar	LAI	x	x	x	x
p	mem	output	LAI	x	x	x	x
s	rega	load	LAI	x	x	x	x
s	regi	reset	LAI	x	x	x	x
s	pc	count	LAI	x	x	x	x
p	pc	count	LBI	x	x	x	x
p	pc	output	LBI	x	x	x	x
s	mem	loadmar	LBI	x	x	x	x
p	mem	output	LBI	x	x	x	x
s	regb	load	LBI	x	x	x	x
s	regi	reset	LBI	x	x	x	x
s	pc	count	LBI	x	x	x	x
p	regsp	output	PEA	x	x	x	x
s	mmu	loadmar	PEA	x	x	x	x
p	mmu	output	PEA	x	x	x	x
s	rega	load	PEA	x	x	x	x
s	regi	reset	PEA	x	x	x	x
s	pc	count	PEA	x	x	x	x
p	regsp	output	PEB	x	x	x	x
s	mmu	loadmar	PEB	x	x	x	x
p	mmu	output	PEB	x	x	x	x
s	regb	load	PEB	x	x	x	x
s	regi	reset	PEB	x	x	x	x
s	pc	count	PEB	x	x	x	x
p	pc	count	SWB	x	x	x	x
p	pc	output	SWB	x	x	x	x
s	mem	loadmar	SWB	x	x	x	x
p	mem	output	SWB	x	x	x	x
s	mmu	loadcs	SWB	x	x	x	x
s	regi	reset	SWB	x	x	x	x
s	pc	count	SWB	x	x	x	x
